Comment,Designator,Footprint,LCSC,Quantity
22uF,"C15,C16,C18,C19,C20,C26",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891,6
10uF,"C1,C13,C14,C2,C25,C6",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585,6
0.1uF,"C23,C24",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,2
470pF,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1620,1
47nF,C22,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1622,1
0.01uF,"C12,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,2
SS-12D06-G030,SW1,SS-12D06_GSW,C17179519,1
10k,"R10,R15,R17,R2,R33,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,6
47k,R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,1
6.8k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17772,1
1,"R28,R29,R3,R30,R31,R32",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17928,6
4.7K,"R5,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936,2
1uF,"C10,C3,C7,C8,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848,5
0.47uH,L2,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C21307,1
255k,R24,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C226702,1
2.2uF,"C11,C21,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C23630,3
100k,"R21,R22,R23,R25,R27",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,5
120k,R26,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25808,1
18K,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25810,1
TPS63802DLAR,IC3,TPS63802DLAR,C2845237,1
511k,R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2930114,1
USB Type C,J2,SHOUHAN_TYPE-C_16PIN_2MD__073_,C393939,1
1.8k,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4177,1
1k,"R13,R14,R16,R18,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410,5
DRV8833PWPR,"U1,U2",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,C50506,2
BQ24074RGT,U6,QFN50P300X300X100-17N-D,C54313,1
SIP32431DNP3-T1GE4,"U4,U5",SON50P120X160X60-5N,C727398,2
1.2uH,L1,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C78176,1
TPS61088RHLR,IC2,RHL(R-PVQFN-N20)_1,C87357,1
INA219AIDCNR,U3,SOT65P280X145-8N,C87469,1
CH224K,IC1,SOP100P600X180-11N,C970725,1
TestPoint,TP6,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP5,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,3v3TP1,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP4,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,MCUTP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,,1
