Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,105.5325,-93.3,0.0,top
C10,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,99.9,-72.575,-90.0,top
C11,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.6,-85.475,-90.0,top
C12,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.7,-78.6,0.0,top
C13,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,145.65,-120.976,90.0,top
C14,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,145.65,-113.626,90.0,top
C15,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,135.35,-62.025,180.0,top
C16,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,135.3,-57.975,180.0,top
C17,470pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.275,-66.475,0.0,top
C18,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.3,-74.275,-90.0,top
C19,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,141.25,-61.95,0.0,top
C2,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,107.2925,-112.675,180.0,top
C20,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,128.825,-72.625,0.0,top
C21,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.075,-69.6,90.0,top
C22,47nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.35,-69.275,0.0,top
C23,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.6575,-62.375,0.0,top
C24,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.075,-72.3,90.0,top
C25,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,128.375,-79.85,-90.0,top
C26,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,127.0875,-86.825,0.0,top
C3,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,116.8,-131.3,-90.0,top
C4,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.45,-97.95,0.0,top
C5,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.7,-106.425,90.0,top
C6,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.475,-105.901,180.0,top
C7,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,118.225,-99.15,180.0,top
C8,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,117.725,-92.825,0.0,top
C9,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,110.7,-72.975,-90.0,top
IC1,CH224K,SOP100P600X180-11N,106.125,-122.55,0.0,top
IC2,TPS61088RHLR,RHL(R-PVQFN-N20)_1,135.175,-68.375,0.0,top
IC3,TPS63802DLAR,TPS63802DLAR,122.175,-80.125,0.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,93.42,-94.36,0.0,top
J2,USB Type C,SHOUHAN_TYPE-C_16PIN_2MD__073_,95.4975,-127.775,-90.0,top
L1,1.2uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.775,-74.4,180.0,top
L2,0.47uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,116.7,-80.2,-90.0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.9,-122.3,0.0,top
R11,18K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.1125,-115.425,0.0,top
R12,1.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.875,-122.376,180.0,top
R13,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,128.575,-108.275,-90.0,top
R14,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,125.15,-118.9,-90.0,top
R15,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.525,-106.401,90.0,top
R16,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,118.775,-115.425,180.0,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.95,-105.651,90.0,top
R18,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,141.15,-113.575,-90.0,top
R19,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.15,-112.95,-90.0,top
R2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.825,-85.825,-90.0,top
R20,511k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.35,-67.175,90.0,top
R21,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,125.5125,-64.45,90.0,top
R22,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,146.06,-68.05,180.0,top
R23,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.15,-58.5,90.0,top
R24,255k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.7025,-75.7,180.0,top
R25,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,121.7475,-85.175,180.0,top
R26,120k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.1125,-74.675,180.0,top
R27,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,117.275,-84.775,90.0,top
R28,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,119.625,-59.5,-90.0,top
R29,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,122.65,-59.6,-90.0,top
R3,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,102.6,-59.625,-90.0,top
R30,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,115.65,-59.5,-90.0,top
R31,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,111.575,-59.3,-90.0,top
R32,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.125,-59.325,-90.0,top
